n	h	f	time	MAX_GENERATIONS	CONSTANT_MEMBERS	POPULATION_SIZE	CROSSOVER_CHANCE	MUTATION_CHANCE	SWAP_ELEMENT_CHANCE	CHANGE_R_CHANCE
10	0.4	1933	0.025570993000656017	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1753	0.02552912200007995	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1581	0.025546769000357017	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2436	0.02552357300010044	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1472	0.02541645199926279	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1011	0.025429080000321846	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1097	0.025373297999976785	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2722	0.025610202999814646	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1468	0.025364468000589113	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1097	0.025497831999928167	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	1373	0.025388860999555618	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2132	0.025735332999829552	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1290	0.02545243999975355	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	842	0.025377146000209905	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	844	0.025768143000277632	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1993	0.02572599699942657	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1053	0.02549886900033016	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	1042	0.025565291000020807	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	966	0.02550589300062711	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1077	0.025783942999623832	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	669	0.02556036900023173	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	766	0.025424073000067438	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	718	0.02540173700072046	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1966	0.025695612000163237	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	949	0.02554616200086457	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	821	0.02543289899949741	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	818	0.025528103000397095	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	2273	0.025462831999902846	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	1274	0.02556179700059147	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	839	0.025436478999836254	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	880	0.025568652999936603	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1362	0.025622335000662133	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	816	0.02550334399984422	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	592	0.02547882699946058	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	611	0.025820474000283866	5	0.3	20	0.3	0.3	0.1	0.2
10	0.2	1551	0.025858341000457585	5	0.3	20	0.3	0.3	0.1	0.2
10	0.4	989	0.02541941100025724	5	0.3	20	0.3	0.3	0.1	0.2
10	0.6	855	0.02538692300004186	5	0.3	20	0.3	0.3	0.1	0.2
10	0.8	989	0.02541282299989689	5	0.3	20	0.3	0.3	0.1	0.2
